time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 3.5938e-09 0 3.5938e-09 0 3.5938e-09 0 3.5938e-09 
NO2 9.9581e-10 0 9.9581e-10 0 9.9581e-10 0 9.9581e-10 
NO 1.8968e-08 0 1.8968e-08 0 1.8968e-08 0 1.8968e-08 
NH3 8.7392e-09 0 8.7392e-09 0 8.7392e-09 0 8.7392e-09 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 4.8812e-09 0 4.8812e-09 0 4.8812e-09 0 4.8812e-09 
HCHO 4.8812e-09 0 4.8812e-09 0 4.8812e-09 0 4.8812e-09 
ETH 5.6321e-08 0 5.6321e-08 0 5.6321e-08 0 5.6321e-08 
OLEI 1.8211e-08 0 1.8211e-08 0 1.8211e-08 0 1.8211e-08 
OLET 1.8211e-08 0 1.8211e-08 0 1.8211e-08 0 1.8211e-08 
TOL 3.0038e-08 0 3.0038e-08 0 3.0038e-08 0 3.0038e-08 
XYL 1.8023e-08 0 1.8023e-08 0 1.8023e-08 0 1.8023e-08 
AONE 9.3869e-09 0 9.3869e-09 0 9.3869e-09 0 9.3869e-09 
PAR 7.134e-07 0 7.134e-07 0 7.134e-07 0 7.134e-07 
ISOP 1.746e-09 0 1.746e-09 0 1.746e-09 0 1.746e-09 
CH3OH 2.1402e-09 0 2.1402e-09 0 2.1402e-09 0 2.1402e-09 
ANOL 2.5908e-08 0 2.5908e-08 0 2.5908e-08 0 2.5908e-08 
